Title,Video ID,Statistics
Introduction to Algorithms of Programming,MGjl-BfKrSI,"{'viewCount': '1511', 'likeCount': '41', 'favoriteCount': '0', 'commentCount': '6'}"
Sustainability in Electric Vehicles,5xefHetTaHc,"{'viewCount': '1025', 'likeCount': '24', 'favoriteCount': '0', 'commentCount': '1'}"
Optimize Delivery Experience using Analytics,Y0zDTFEkTKQ,"{'viewCount': '735', 'likeCount': '18', 'favoriteCount': '0', 'commentCount': '2'}"
How to use GitHub Copilot for Java & Mysql?,rdXwmKebaCU,"{'viewCount': '1023', 'likeCount': '30', 'favoriteCount': '0', 'commentCount': '1'}"
Cloud Computing Program Testimonial | Deepak Kumar,5ZIl3a2lY-Q,"{'viewCount': '869', 'likeCount': '33', 'favoriteCount': '0', 'commentCount': '1'}"
How to use ChatGPT for Digital Marketing?,k0r9kVvMPjo,"{'viewCount': '1199', 'likeCount': '59', 'favoriteCount': '0', 'commentCount': '1'}"
Predicting Power Generation from Windmill using Machine Learning,CFGcdCfD3FM,"{'viewCount': '918', 'likeCount': '21', 'favoriteCount': '0', 'commentCount': '6'}"
Bank Transaction Fraud Detection with Data Science | Fraud Detection using Machine Learning,3wIySYu4TWo,"{'viewCount': '1219', 'likeCount': '32', 'favoriteCount': '0', 'commentCount': '1'}"
Data Science and Business Analytics Program Testimonial | Manas Gupta,lRoHRBATR5g,"{'viewCount': '870', 'likeCount': '21', 'favoriteCount': '0', 'commentCount': '1'}"
Building a Website with Google BARD: A Step-by-Step Tutorial,z2BVadyJ_kQ,"{'viewCount': '1354', 'likeCount': '46', 'favoriteCount': '0', 'commentCount': '2'}"
Introduction to Web Designing | Web Design Tutorial | How to become Web Designer?,M9nMBZkTI7o,"{'viewCount': '1064', 'likeCount': '40', 'favoriteCount': '0', 'commentCount': '4'}"
What is Data Privacy | Explained in 30 minutes | Exploring Cybersecurity: Data Protection & Privacy,soliOHbzJog,"{'viewCount': '651', 'likeCount': '16', 'favoriteCount': '0', 'commentCount': '0'}"
ChatGPT Explained in 30 minutes | ChatGPT - All you need to know | ChatGPT Tutorial,jWzan47himU,"{'viewCount': '1447', 'likeCount': '55', 'favoriteCount': '0', 'commentCount': '1'}"
How to use GitHub Copilot? | Introduction to GitHub Copilot,MQ-43CjOjTM,"{'viewCount': '790', 'likeCount': '40', 'favoriteCount': '0', 'commentCount': '5'}"
Great Learning Career Academy - Data Analytics Testimonial | Prashant Patil,JTAn8fXW_BA,"{'viewCount': '868', 'likeCount': '15', 'favoriteCount': '0', 'commentCount': '0'}"
Step by Step Guide to become a Full Stack Developer,XegibLop40w,"{'viewCount': '859', 'likeCount': '26', 'favoriteCount': '0', 'commentCount': '2'}"
Top Python Libraries | #shorts,TiQBT42IErQ,"{'viewCount': '1397', 'likeCount': '63', 'favoriteCount': '0', 'commentCount': '1'}"
Impact of AI in Digital Marketing | Applications of AI in Digital marketing,WCQTDoAOjBw,"{'viewCount': '837', 'likeCount': '21', 'favoriteCount': '0', 'commentCount': '0'}"
Data Science and Business Analytics Program Testimonial | Vaibhav Shankdhar,xiirdzikkEc,"{'viewCount': '1017', 'likeCount': '24', 'favoriteCount': '0', 'commentCount': '0'}"
ChatGPT Impact of AI on Technology | Introduction to Generative AI & Prompt Engineering,SLwNHfcKemc,"{'viewCount': '1026', 'likeCount': '40', 'favoriteCount': '0', 'commentCount': '0'}"
ChatGPT for Excel | Increase your Productivity by 10X with ChatGPT for Excel,LDWOLK2xUtQ,"{'viewCount': '9167', 'likeCount': '211', 'favoriteCount': '0', 'commentCount': '9'}"
Getting Started with GPT-4 | How to Use Chat GPT 4 For Beginners 2023,_p9Azw1eXPg,"{'viewCount': '5213', 'likeCount': '92', 'favoriteCount': '0', 'commentCount': '2'}"
